id_avaliacao,id_funcionario,data_avaliacao,comunicacao,trabalho_equipe,qualidade_entrega,proatividade,lideranca,nota_final,observacao
111,33,2025-12-31,6.3,7.7,5.8,9.4,,7.3,Desempenho dentro do esperado.
112,34,2025-12-31,9.7,5.8,9.0,7.9,5.4,7.6,Desempenho dentro do esperado.
113,35,2024-06-30,9.4,7.8,6.1,8.1,6.3,7.5,Desempenho dentro do esperado.
114,35,2024-12-31,7.6,8.4,6.6,6.7,7.2,7.3,Desempenho dentro do esperado.
115,35,2025-06-30,6.7,8.4,8.6,5.9,7.6,7.4,Desempenho dentro do esperado.
116,35,2025-12-31,7.3,5.6,5.7,7.8,7.7,6.8,Desempenho dentro do esperado.
117,36,2024-06-30,9.8,8.2,5.4,7.3,,7.7,Desempenho dentro do esperado.
118,36,2024-12-31,8.6,6.5,7.2,6.9,,7.3,Desempenho dentro do esperado.
119,36,2025-06-30,8.6,6.3,5.6,6.4,,6.7,Desempenho dentro do esperado.
120,36,2025-12-31,7.6,9.4,6.8,8.6,,8.1,Desempenho dentro do esperado.
121,37,2025-06-30,7.7,7.4,8.8,7.7,,7.9,Desempenho dentro do esperado.
122,37,2025-12-31,6.0,7.8,7.6,8.4,,7.5,Desempenho dentro do esperado.
123,38,2024-06-30,7.1,6.6,6.9,7.9,6.9,7.1,Desempenho dentro do esperado.
124,38,2024-12-31,6.9,7.3,6.0,7.9,8.0,7.2,Desempenho dentro do esperado.
125,38,2025-06-30,7.6,6.3,6.5,6.4,8.7,7.1,Desempenho dentro do esperado.
126,38,2025-12-31,8.3,7.3,10.0,8.4,7.5,8.3,Desempenho dentro do esperado.
127,39,2025-12-31,8.2,7.5,7.2,7.6,,7.6,Desempenho dentro do esperado.
128,40,2024-06-30,5.2,7.9,5.7,5.8,,6.2,Desempenho dentro do esperado.
129,40,2024-12-31,8.3,6.1,6.9,8.2,,7.4,Desempenho dentro do esperado.
130,40,2025-06-30,7.1,6.8,9.0,8.1,,7.8,Desempenho dentro do esperado.
131,40,2025-12-31,7.4,5.9,7.3,6.9,,6.9,Desempenho dentro do esperado.
132,41,2024-06-30,6.5,6.8,7.2,5.6,6.6,6.5,Desempenho dentro do esperado.
133,42,2024-06-30,7.9,5.8,8.1,7.4,,7.3,Desempenho dentro do esperado.
134,42,2024-12-31,9.1,6.5,7.6,7.3,,7.6,Desempenho dentro do esperado.
135,42,2025-06-30,8.9,5.4,6.7,8.4,,7.4,Desempenho dentro do esperado.
136,42,2025-12-31,7.4,7.3,6.7,7.5,,7.2,Desempenho dentro do esperado.
137,43,2024-06-30,9.4,8.0,7.8,6.2,7.1,7.7,Desempenho dentro do esperado.
138,43,2024-12-31,7.8,8.5,8.3,7.6,7.7,8.0,Desempenho dentro do esperado.
139,43,2025-06-30,7.9,6.5,7.9,7.5,7.6,7.5,Desempenho dentro do esperado.
140,43,2025-12-31,9.2,6.3,8.0,7.1,8.8,7.9,Desempenho dentro do esperado.
141,44,2024-06-30,6.8,6.9,7.0,5.2,,6.5,Desempenho dentro do esperado.
142,44,2024-12-31,4.7,9.0,6.3,7.1,,6.8,Desempenho dentro do esperado.
143,44,2025-06-30,6.5,7.6,6.0,7.6,,6.9,Desempenho dentro do esperado.
144,44,2025-12-31,8.1,7.4,6.4,7.6,,7.4,Desempenho dentro do esperado.
145,45,2025-12-31,8.3,6.7,4.3,8.7,,7.0,Desempenho dentro do esperado.
146,46,2024-06-30,6.3,8.8,6.4,7.7,7.2,7.3,Desempenho dentro do esperado.
147,46,2024-12-31,7.5,7.8,7.2,9.0,6.7,7.6,Desempenho dentro do esperado.
148,46,2025-06-30,5.3,6.6,6.6,7.1,8.1,6.7,Desempenho dentro do esperado.
149,46,2025-12-31,6.1,5.9,7.0,8.9,7.3,7.0,Desempenho dentro do esperado.
150,47,2024-06-30,8.1,6.2,8.8,7.4,,7.6,Desempenho dentro do esperado.
151,47,2024-12-31,9.2,8.3,5.5,8.4,,7.8,Desempenho dentro do esperado.
152,47,2025-06-30,7.1,6.6,6.5,6.7,,6.7,Desempenho dentro do esperado.
153,47,2025-12-31,6.0,4.8,7.4,6.8,,6.2,Desempenho dentro do esperado.
154,48,2024-06-30,8.3,6.8,6.5,6.3,,7.0,Desempenho dentro do esperado.
155,48,2024-12-31,7.8,8.0,4.0,7.2,,6.8,Desempenho dentro do esperado.
156,48,2025-06-30,8.1,8.6,6.1,6.7,,7.4,Desempenho dentro do esperado.
157,48,2025-12-31,5.5,6.8,8.2,8.3,,7.2,Desempenho dentro do esperado.
158,49,2024-06-30,6.7,7.9,7.5,6.2,4.9,6.6,Desempenho dentro do esperado.
159,50,2024-06-30,9.2,8.3,6.9,7.4,8.0,8.0,Desempenho dentro do esperado.
160,50,2024-12-31,9.7,7.9,8.9,8.0,8.7,8.6,Desempenho acima do esperado.
161,51,2024-06-30,7.7,9.2,7.5,7.3,7.0,7.7,Desempenho dentro do esperado.
162,51,2024-12-31,8.0,7.8,5.5,6.9,6.5,6.9,Desempenho dentro do esperado.
163,51,2025-06-30,7.5,7.3,5.7,5.7,4.8,6.2,Desempenho dentro do esperado.
164,51,2025-12-31,6.9,6.1,7.3,8.1,9.4,7.6,Desempenho dentro do esperado.
165,52,2025-12-31,6.4,6.5,7.8,8.3,6.7,7.1,Desempenho dentro do esperado.
166,53,2024-06-30,6.5,9.1,5.4,5.5,,6.6,Desempenho dentro do esperado.
167,53,2024-12-31,4.9,6.0,8.5,7.4,,6.7,Desempenho dentro do esperado.
168,53,2025-06-30,5.8,8.6,5.5,7.5,,6.8,Desempenho dentro do esperado.
169,53,2025-12-31,8.9,5.1,7.3,8.6,,7.5,Desempenho dentro do esperado.
170,54,2024-06-30,7.6,8.1,6.8,5.1,,6.9,Desempenho dentro do esperado.
171,54,2024-12-31,7.6,6.9,7.8,6.6,,7.2,Desempenho dentro do esperado.
172,54,2025-06-30,7.5,7.9,8.1,9.0,,8.1,Desempenho dentro do esperado.
173,54,2025-12-31,7.8,6.9,8.9,10.0,,8.4,Desempenho dentro do esperado.
174,55,2025-12-31,7.6,8.5,7.3,8.6,,8.0,Desempenho dentro do esperado.
175,56,2024-06-30,6.4,4.8,7.1,8.0,,6.6,Desempenho dentro do esperado.
176,56,2024-12-31,6.7,6.0,6.7,5.7,,6.3,Desempenho dentro do esperado.
177,56,2025-06-30,7.2,8.5,8.3,4.8,,7.2,Desempenho dentro do esperado.
178,56,2025-12-31,8.0,7.2,5.7,8.2,,7.3,Desempenho dentro do esperado.
179,57,2024-06-30,6.4,7.1,5.8,7.7,,6.8,Desempenho dentro do esperado.
180,57,2024-12-31,6.0,9.0,10.0,9.6,,8.7,Desempenho acima do esperado.
181,57,2025-06-30,5.0,8.7,7.9,7.2,,7.2,Desempenho dentro do esperado.
182,57,2025-12-31,8.2,8.4,5.4,8.6,,7.7,Desempenho dentro do esperado.
183,58,2024-06-30,9.2,9.0,7.1,9.5,,8.7,Desempenho acima do esperado.
184,58,2024-12-31,8.2,3.0,7.9,5.6,,6.2,Desempenho dentro do esperado.
185,58,2025-06-30,6.3,4.8,6.9,6.7,,6.2,Desempenho dentro do esperado.
186,58,2025-12-31,5.0,6.7,9.2,7.0,,7.0,Desempenho dentro do esperado.
187,59,2024-06-30,4.8,7.2,7.9,5.9,,6.5,Desempenho dentro do esperado.
188,59,2024-12-31,8.3,4.6,7.5,7.2,,6.9,Desempenho dentro do esperado.
189,59,2025-06-30,6.9,9.1,7.3,6.1,,7.3,Desempenho dentro do esperado.
190,59,2025-12-31,8.9,7.8,6.6,9.3,,8.2,Desempenho dentro do esperado.
191,60,2024-06-30,9.1,6.1,6.7,7.6,,7.4,Desempenho dentro do esperado.
192,60,2024-12-31,7.2,7.9,8.1,4.0,,6.8,Desempenho dentro do esperado.
193,60,2025-06-30,7.5,7.0,7.1,8.3,,7.5,Desempenho dentro do esperado.
194,60,2025-12-31,7.2,7.5,7.7,6.0,,7.1,Desempenho dentro do esperado.
195,61,2024-06-30,8.3,9.4,8.9,7.4,,8.5,Desempenho acima do esperado.
196,61,2024-12-31,5.6,7.5,7.3,6.2,,6.7,Desempenho dentro do esperado.
197,61,2025-06-30,6.1,6.9,4.5,6.4,,6.0,Desempenho dentro do esperado.
198,61,2025-12-31,5.4,6.1,7.7,7.9,,6.8,Desempenho dentro do esperado.
199,62,2024-06-30,7.5,6.3,6.3,9.3,,7.3,Desempenho dentro do esperado.
200,62,2024-12-31,6.2,8.5,9.3,6.7,,7.7,Desempenho dentro do esperado.
201,62,2025-06-30,6.9,6.8,7.1,8.4,,7.3,Desempenho dentro do esperado.
202,62,2025-12-31,7.3,6.6,6.8,5.5,,6.5,Desempenho dentro do esperado.
203,63,2024-06-30,5.7,9.3,9.2,8.2,,8.1,Desempenho dentro do esperado.
204,63,2024-12-31,4.9,7.4,6.8,5.0,,6.0,Desempenho dentro do esperado.
205,63,2025-06-30,7.2,7.2,5.3,7.7,,6.8,Desempenho dentro do esperado.
206,63,2025-12-31,6.5,6.9,6.4,7.9,,6.9,Desempenho dentro do esperado.
207,64,2024-06-30,7.9,8.3,6.3,7.2,,7.4,Desempenho dentro do esperado.
208,64,2024-12-31,7.7,8.4,4.9,6.6,,6.9,Desempenho dentro do esperado.
209,64,2025-06-30,10.0,10.0,6.8,4.9,,7.9,Desempenho dentro do esperado.
210,64,2025-12-31,7.4,6.0,9.2,7.5,,7.5,Desempenho dentro do esperado.
211,65,2024-06-30,6.3,7.4,7.5,6.2,,6.8,Desempenho dentro do esperado.
212,65,2024-12-31,6.8,8.0,6.4,6.3,,6.9,Desempenho dentro do esperado.
213,65,2025-06-30,6.7,6.9,7.5,7.1,,7.0,Desempenho dentro do esperado.
214,65,2025-12-31,9.5,6.3,10.0,9.0,,8.7,Desempenho acima do esperado.
215,66,2024-06-30,7.0,8.5,7.4,7.6,,7.6,Desempenho dentro do esperado.
216,66,2024-12-31,7.4,7.9,8.3,5.9,,7.4,Desempenho dentro do esperado.
217,66,2025-06-30,9.4,7.2,8.6,7.8,,8.2,Desempenho dentro do esperado.
218,66,2025-12-31,6.8,7.1,7.3,6.6,,6.9,Desempenho dentro do esperado.
219,67,2024-06-30,5.7,7.0,8.5,6.4,6.3,6.8,Desempenho dentro do esperado.
220,68,2024-06-30,5.8,7.8,7.5,6.3,,6.8,Desempenho dentro do esperado.
221,68,2024-12-31,8.2,4.5,6.3,7.1,,6.5,Desempenho dentro do esperado.
222,68,2025-06-30,7.4,8.8,5.0,6.7,,7.0,Desempenho dentro do esperado.
223,68,2025-12-31,6.4,9.4,8.6,7.8,,8.1,Desempenho dentro do esperado.
224,69,2024-06-30,7.8,4.6,7.3,6.7,8.3,6.9,Desempenho dentro do esperado.
225,69,2024-12-31,7.5,9.4,9.8,8.2,7.5,8.5,Desempenho acima do esperado.
226,69,2025-06-30,6.8,8.0,6.6,6.6,7.2,7.0,Desempenho dentro do esperado.
227,69,2025-12-31,7.0,5.9,7.5,7.2,10.0,7.5,Desempenho dentro do esperado.
228,70,2024-06-30,4.7,6.4,6.6,6.7,,6.1,Desempenho dentro do esperado.
229,70,2024-12-31,8.4,9.8,7.5,7.4,,8.3,Desempenho dentro do esperado.
230,70,2025-06-30,6.6,7.1,8.2,6.4,,7.1,Desempenho dentro do esperado.
231,70,2025-12-31,6.7,8.1,7.7,5.9,,7.1,Desempenho dentro do esperado.
232,71,2024-06-30,8.7,6.8,6.7,8.4,,7.7,Desempenho dentro do esperado.
233,71,2024-12-31,7.6,9.0,8.6,7.9,,8.3,Desempenho dentro do esperado.
234,71,2025-06-30,8.9,9.1,8.7,8.2,,8.7,Desempenho acima do esperado.
235,71,2025-12-31,9.8,6.1,6.5,7.8,,7.5,Desempenho dentro do esperado.
236,72,2024-06-30,6.8,6.0,6.5,5.5,7.1,6.4,Desempenho dentro do esperado.
237,72,2024-12-31,7.4,7.1,7.1,7.4,8.1,7.4,Desempenho dentro do esperado.
238,72,2025-06-30,6.2,8.4,8.2,7.4,6.2,7.3,Desempenho dentro do esperado.
239,72,2025-12-31,6.9,7.2,5.7,6.7,6.9,6.7,Desempenho dentro do esperado.
240,73,2024-06-30,6.8,7.5,8.0,7.0,8.1,7.5,Desempenho dentro do esperado.
241,73,2024-12-31,6.0,5.9,7.1,6.4,9.2,6.9,Desempenho dentro do esperado.
242,73,2025-06-30,5.8,7.7,8.0,5.5,5.2,6.4,Desempenho dentro do esperado.
243,73,2025-12-31,7.0,6.3,6.6,6.3,6.1,6.5,Desempenho dentro do esperado.
244,74,2024-06-30,7.9,7.3,7.6,6.4,8.4,7.5,Desempenho dentro do esperado.
245,74,2024-12-31,6.5,7.6,6.2,6.3,10.0,7.3,Desempenho dentro do esperado.
246,74,2025-06-30,8.1,7.2,8.0,7.2,8.0,7.7,Desempenho dentro do esperado.
247,74,2025-12-31,8.2,8.7,5.1,10.0,6.5,7.7,Desempenho dentro do esperado.
248,75,2024-12-31,8.2,8.1,9.0,9.3,5.2,8.0,Desempenho dentro do esperado.
249,75,2025-06-30,8.6,7.9,7.7,8.3,7.6,8.0,Desempenho dentro do esperado.
250,76,2024-06-30,8.1,8.1,6.5,5.4,6.3,6.9,Desempenho dentro do esperado.
251,76,2024-12-31,6.2,8.0,7.0,9.1,5.6,7.2,Desempenho dentro do esperado.
252,76,2025-06-30,6.5,6.1,4.9,6.0,6.7,6.0,Desempenho dentro do esperado.
253,76,2025-12-31,8.3,4.6,6.2,8.0,7.9,7.0,Desempenho dentro do esperado.
254,77,2024-06-30,8.6,8.4,6.4,5.1,,7.1,Desempenho dentro do esperado.
255,77,2024-12-31,9.7,8.9,5.4,9.4,,8.3,Desempenho dentro do esperado.
256,77,2025-06-30,7.2,7.4,6.6,8.5,,7.4,Desempenho dentro do esperado.
257,77,2025-12-31,7.8,9.1,4.8,8.5,,7.5,Desempenho dentro do esperado.
258,78,2024-12-31,6.9,7.3,5.9,7.8,,7.0,Desempenho dentro do esperado.
259,78,2025-06-30,9.0,6.4,6.4,8.2,,7.5,Desempenho dentro do esperado.
260,78,2025-12-31,8.1,7.2,9.6,7.1,,8.0,Desempenho dentro do esperado.
261,79,2024-06-30,8.3,8.4,6.6,7.3,,7.7,Desempenho dentro do esperado.
262,79,2024-12-31,8.3,8.5,7.9,7.8,,8.1,Desempenho dentro do esperado.
263,79,2025-06-30,7.0,6.3,9.1,6.8,,7.3,Desempenho dentro do esperado.
264,79,2025-12-31,6.2,6.0,7.2,7.7,,6.8,Desempenho dentro do esperado.
265,80,2024-06-30,7.5,8.4,7.4,8.6,7.2,7.8,Desempenho dentro do esperado.
266,80,2024-12-31,10.0,6.2,7.2,6.6,8.3,7.7,Desempenho dentro do esperado.
267,80,2025-06-30,8.6,6.2,7.5,8.7,7.3,7.7,Desempenho dentro do esperado.
268,80,2025-12-31,4.7,8.1,6.8,9.4,7.1,7.2,Desempenho dentro do esperado.
269,81,2024-06-30,8.1,9.4,8.1,9.2,,8.7,Desempenho acima do esperado.
270,81,2024-12-31,7.8,8.9,9.2,7.2,,8.3,Desempenho dentro do esperado.
271,81,2025-06-30,6.5,6.4,6.9,6.4,,6.6,Desempenho dentro do esperado.
272,81,2025-12-31,8.7,7.1,5.8,5.7,,6.8,Desempenho dentro do esperado.
273,82,2024-06-30,8.8,7.3,6.9,9.5,,8.1,Desempenho dentro do esperado.
274,82,2024-12-31,6.4,9.0,7.8,9.0,,8.1,Desempenho dentro do esperado.
275,82,2025-06-30,6.5,7.3,4.9,6.0,,6.2,Desempenho dentro do esperado.
276,82,2025-12-31,7.8,5.2,9.0,5.1,,6.8,Desempenho dentro do esperado.
277,83,2024-06-30,5.9,8.7,8.1,7.3,3.1,6.6,Desempenho dentro do esperado.
278,83,2024-12-31,7.1,9.5,5.7,7.4,7.4,7.4,Desempenho dentro do esperado.
279,83,2025-06-30,7.4,7.8,7.7,10.0,6.6,7.9,Desempenho dentro do esperado.
280,83,2025-12-31,7.0,8.9,8.8,6.2,6.3,7.4,Desempenho dentro do esperado.
281,84,2024-06-30,7.9,4.9,6.7,7.4,,6.7,Desempenho dentro do esperado.
282,84,2024-12-31,6.2,5.4,8.3,4.7,,6.2,Desempenho dentro do esperado.
283,84,2025-06-30,8.5,5.8,7.6,6.7,,7.2,Desempenho dentro do esperado.
284,84,2025-12-31,6.2,4.7,7.9,6.2,,6.2,Desempenho dentro do esperado.
285,85,2024-06-30,7.1,6.6,7.5,7.2,,7.1,Desempenho dentro do esperado.
286,85,2024-12-31,6.7,6.3,6.8,6.8,,6.7,Desempenho dentro do esperado.
287,85,2025-06-30,8.0,8.6,8.0,7.9,,8.1,Desempenho dentro do esperado.
288,85,2025-12-31,7.9,5.9,6.5,6.6,,6.7,Desempenho dentro do esperado.
289,86,2024-06-30,7.3,4.6,7.8,6.0,,6.4,Desempenho dentro do esperado.
290,86,2024-12-31,7.5,6.7,5.4,7.4,,6.8,Desempenho dentro do esperado.
291,86,2025-06-30,8.3,9.0,6.1,5.5,,7.2,Desempenho dentro do esperado.
292,86,2025-12-31,7.0,6.7,8.0,9.3,,7.8,Desempenho dentro do esperado.
293,87,2024-06-30,7.5,7.9,6.2,8.3,,7.5,Desempenho dentro do esperado.
294,87,2024-12-31,9.4,7.2,7.3,6.0,,7.5,Desempenho dentro do esperado.
295,87,2025-06-30,5.4,6.3,7.5,7.7,,6.7,Desempenho dentro do esperado.
296,87,2025-12-31,8.3,7.4,7.5,6.3,,7.4,Desempenho dentro do esperado.
